Country Name,Country Code,Series Name,Series Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Azerbaijan,AZE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.34131384,4.42241955,4.07396507,3.83661342,4.18188763,5.84817696,4.68526697,3.97840643,..
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10141756,10153958
Azerbaijan,AZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,54.714,55.021,55.343,55.68,56.031,56.397,56.776,57.17,57.577
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,1.191209858,1.11785721,0.981261805,0.866316916,0.846646726,0.684365325,0.441197736,0.039507866,0.12024215
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
Azerbaijan,AZE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,37.79477749,46.42764939,48.54786473,54.09229386,49.0506275,35.62355587,46.48874717,59.98684807,49.04536789
Azerbaijan,AZE,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,34.80673042,43.64966934,41.85445095,37.58028267,36.76751791,36.39431178,29.79811852,26.99542519,34.57398246
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.996758611,-0.961908777,2.799518639,2.62988986,-1.357265209,-21.42346307,15.40314894,10.7820132,2.639055981
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,11671900000,11745100000,12236700000,12615800000,13016200000,9958200000,11368900000,13136400000,14338500000
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,30289.40225,30266.58592,31337.18325,32124.40511,32979.54013,25155.67254,28682.327,33044.38821,35896.50511
"Bahamas, The",BHS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,32290.69974,31756.84062,32442.72299,33106.69405,32495.33387,25457.08039,29340.47235,32408.71186,33105.60386
"Bahamas, The",BHS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.296975136,2.586606741,2.691406488,2.485194921,2.617186308,3.790011644,3.006932497,2.836576223,..
"Bahamas, The",BHS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,..,..,..,..,..,93.82105255,..,77.93193054
"Bahamas, The",BHS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,62.61666107,..,78.75792694
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.805,74.042,74.031,74.062,71.408,72.994,70.752,74.491,74.552
"Bahamas, The",BHS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,13.9,13.8,13.6,13.5,23.5,13.3,13.1,12.9,12.7
"Bahamas, The",BHS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.24419451,5.71206808,6.75126934,6.02687502,5.86800623,7.59303093,7.0057478,7.21692038,..
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,385346,388055,390485,392717,394675,395863,396373,397538,399440
"Bahamas, The",BHS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,82.746,82.832,82.925,83.025,83.132,83.245,83.365,83.492,83.625
"Bahamas, The",BHS,Population growth (annual %),SP.POP.GROW,0.79412228,0.700545016,0.62424741,0.569969444,0.497339073,0.300555038,0.128749532,0.293483989,0.477303918
"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100
"Bahamas, The",BHS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,36.33769995,33.21725656,32.28157918,35.83997844,35.56414314,24.24032456,29.49713693,39.42708809,39.74613802
"Bahamas, The",BHS,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,37.12943051,37.5237333,40.1483243,40.36414655,36.98322091,33.68992388,43.45442391,43.74706921,42.95874743
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.507872053,3.814993274,4.953835341,2.05258865,2.052877744,-5.911362952,4.350040917,5.981302822,2.980792767
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,32523297872,33884680851,37204813830,39567978723,40446808511,35837632979,40840212766,46680398936,46079867021
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,23734.05511,23800.00144,24784.76935,26324.40665,27259.74386,24342.84446,27147.80839,30616.26107,29218.86056
Bahrain,BHR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,54149.91315,54107.07522,53859.77496,54893.07244,56749.96284,53814.24526,54954.67579,57465.17298,57213.09136
